1diena	pirmdiena
adhērents	piekritējs,pielipis
adherēt	pieķerties,pielipt,piekrist
adhezīvs	līme
adhibēt	lietot,pielaist,pievilkt,pieaicināt
adhibīcija	lietošana,pievilkšana
adhortācija	pamācīšana,pamudināšana
adhortatīvs	pamācošs
adhortēt	pamācīt
Adia	aģe
adiabata	adiabāta
adiabatisks	necaurlaidīgs,izolēts
adiafans	necaurspīdīgs
adiafors	vienaldzīgs
Adiamuende	skulte
adiantaceae	adiantaugi
adicija	saskaitīšana,pielikšana
adienīte	atdienīte
adienītēm	atdienītēm
adierēt	pielikt,saskaitīt
adieu	ardievu
ādigrantha	gurugranthsahiba
adikls	adīklis
ādināt	kaitināt,muļķot,āzēt
adināt	adīt,pasūtināt
adīne	nelaime,liksta
ādiņa	prezervatīvs
adiņočka	vieninieks
adipozitāte	aptaukošanās
adipozīts	korpulence
adipozs	taukains,tukls
adirato	nikni,dusmīgi
ādīt	dīrāt
adītājs	adītāja
aditi	bezgalība,matērija
adizija	pielikšana,saskaitīšana
Adjamuende	Adiamuende
adjē	ardievu,atvadīšanās
Adje	aģe
adjektivizēties	adjektivēties
adjicēt	pielikt
adjū	ardievu,sveiki
adjudicēt	piespriest
adjungēt	piešķirt,piekārtot
adjunkts	palīgs
adjurācija	apzvērēšana
adjurēt	apzvērēt
ādkrāsa	ādaskrāsa,ādskrāsa
adlats	palīgs,biedrs
adlekcija	vēlēšana,uzņemšana
Adliena	Aduliena
adm.	administratīvs
admenzurēt	piemērot
ādmine	ādminis
ādminis	ādenis,kleperis
administrēt	pārvaldīt,vadīt
admins	administrators
ādmiņi	ādminis
admir.	admirālis
admirabls	apbrīnojams
admirācija	apbrīnošana
admirals	admirālis
admirēt	apbrīnot
admitēt	pielaist
admodiēt	pamazināt
admonēt	atgādināt,biedēt
admonīcija	rājiens,pamācība
ādnieks	ādavnieks
adoptācija	adopcija
adoptēšana	adopcija
adoptierēt	adoptēt
adorēt	pielūgt
adornēt	greznot,izrotāt
adrastea	liktenis
ādraudzis	ādminis
adresants	nosūtītājs
adresēt	attiecināt
adresierēt	uzrādīt,ievēlēt
adrets	glīts,veikls,izveicīgs
adriss	adrese
Adsel	Gaujiena
ādsiene	samestaukla,samestava
ādskrāsa	ādaskrāsa,ādkrāsa
adsorbētājs	adsorbents
ādsstrēmele	ādasstrēmele,ādstrēmele
ādstrēmele	ādasstrēmele,ādsstrēmele
adstringēt	savilkt
adums-2	adījums
aduse	paduse
aduta	adata
Aduva	Adva
adv.	advokāts
advancēts	attīstīts
advente	advents
adverbiācija	adverbācija
adverbiēt	adverbializēt
adverbiēties	adverbializēties
advokātēt	aizstāvēt
advonts	advente
advukats	advokāts
ādzele	sija
ādzens	garš,slaiks,taisns
adžareli	adžāri
adžgāniski	ačgārni
adžgārni	ačgārni
adžgārns	ačgārns
adžigārni	ačgārni
adžios	ažio
adžoks	muļķis,nerrs,āksts,ģeķis
adžubeniski	ačgārni,atpakaļiski,otrādi,atmuguriski
adžubu	ačgārni,otrādi,atmuguriski
adžugarni	ačgārni
Ādžūni	Adžūni
aegolius	Apogi
aepyornithiformes	epiornisveidīgie
aēr	gaiss
aeroaina	aerofotogrāfija
aerofobija	aviafobija,aviofobija
aerofons	aerofoni
aerofotogrāfija	aerofotouzņēmums
aerolits	meteors
aerolīts	meteorīts
aeromekanika	aeromehānika
aeron.	aeronautika,aeronavigācija
aeropasts	aviopasts
aeroplāns	lidmašīna
aeroports	lidosta
aerosole	aerosols
aerouzņēmums	aerofotogrāfija
aerozols	aerosols
AES	atomelektrostacija
aeternus	mūžīgi
aethusa	suņpētersīļi
aeti	ati,inagti
afabls	laipns,saticīgs
afaļš	apaļš
afāri	danakili,adali
afektācija	uzbudinājums
afektēt	izlikties,liekuļot,pārspīlēt
afektētība	uzbudinājums,afektācija
afektierēt	lielīties,ākstīties
afelksija	izklaidība
affabile	laipni,mīļi,omulīgi
affannato	satraukti,nemierīgi
affettuoso	jūsmīgi,kaisli,brāzmaini
afflitto	bēdīgi,skumji
afgani	afgāns
aficēšana	iespaidošana
aficēt	kairināt,aizķert
afigenna	ļoti
afigēno	ļoti
afiliēt	uzņemt,sabrāļot
afinēt	tīrīt
afinitāte	radniecība
afīns	radniecīgs,līdzīgs
afirmācija	apgalvošana,apstiprināšana
afirmēt	apgalvot,apstiprināt
afiše	afiša
Afjonkarahisara	Afjona
afjora	krāpnieks
aflikācija	skumjas,bēdas
aflišēt	apbēdināt
AFN	afgāns
afrikandi	būri
afrikandieši	afrikandi
afrikāneri	afrikandi
afrodiziaks	afrodīzijs
afrodīzija	erotisms,dzimumdziņa
afronēzija	plānprātība
afropavo	pāvi
afrozs	riebīgs,nejauks
afterparty	afterpārtija
Ag	sudrabs
agal	atkal
agāmija	bezlaulība
agara	agars
agaragars	agars
āgaris	rīma
agate	labā
Agenčiks	Āgenskalns
agende	agenda
agenss	darītājs
agevole	viegli,kustīgi,nepiespiesti
aggiustatamente	precīzi
agiatamento	omulīgi,ērti
agiato	lēni,mierīgi
agile	viegli,veikli,raiti
agitato	satraukti,nemierīgi
agitators	aģitators
agle	egle
aglom.	aglomerācija,aglomerāts
āgnēties	vilcināties,kavēties
agni	dedzīgi,enerģiski,uzņēmīgi
agnoscēt	atzīt
agns	dedzīgs,enerģisks,uzņēmīgs,ugunīgs,kaislīgs
āgns	nadzīgs,mudīgs
agnus	jērs
agņi	dedzīgi,ātri
agr.	agrākais,agronomija,agronomisks,agronoms,agrotehnika
agrafa-2	sprādze,agrafe
agrains	agrīns,agrs
agrāk	iepriekš,senāk
agrākejais	agrākais
agrākējais	agrākais
agrākgadus	agrāk,senāk
agrāki	agrāk,senāk,iepriekš
agrandēt	palielināt
agrārs	lauksaimniecisks
agraudzis	ātraudzis
agravēt	apgrūtināt
agre	agrums
agreabls	pieņēmīgs,patīkams
agreēt	pieņemt,atvēlēt
agregāts	šļirce
agregātveids	agregātstāvoklis
agrējs	agrīns,agrs
agrens	agrējs,agrīns,agrs
agres	ērkšķogas
agresīvs	kaujiniecisks,naidīgs,kodīgs
agresors	iebrucējs
agriena	senatne,bērnība,jaunība,savlaicīgums
agriene	agriena
agrīgs	agrs
agrikulture	zemkopība
agrīms	agrīns
agrinājs	agrīns,agrs
agrīnība	agrīnums
agrīns	agrs
agrīnums	agrīnība
agristas	ērkšķogas
agroloģija	agronomija
agrosti	ērkšķogas
agrosts	ērkšķoga
agrozdi	ērkšķogas
agrs	priekšlaicīgs,pāragrs,agrīns
agrystys	ērkšķogas
āgs	bezgaršīgs,pliekans
agurks	gurķis
agurķis	gurķis
agūtis	aguts
aģe	algebra
aģenda	agenda
aģenēze	neauglība
Āģenīte	Āgenskalns
aģents-1	līdzstrādnieks,spiegs,diversants
aģentūra	nodaļa,pārstāvniecība
aģerēt	sakrāt
āģēris	ādminis,ādģēris
aģils	izveicīgs,veikls
aģins	vecpuisis
aģit.	aģitācija,aģitators
aģitācija	pierunāšana,pārliecināšana,nemiers,uztraukums,trīce
aģitēt	pierunāt,pārliecināt
Āģītis	Āgenskalns
A-h	ampērstunda
Ah-1	ampērstunda
aharistija	nepateicība
Ahills	Ahillejs
ahms	oms
ahromatisks	bezkrāsas,nekrāsots
ahromatisms	bezkrāsainība
ahtele	sēža
ahter-	pakaļējais,pakaļ-
ahteris	dibens
ahujenijs	lielisks
ahūns	iespaidīgs,lielisks,liels,milzīgs
Ahuramazda	Ormazds
Aibo	robotsuns
aicinājums	uzsaukums,pamudinājums,vēlēšanās,tieksme
aicināt	lūgt,saukt,mudināt
aicis	zirgs
aicu	aucu
aiča	aita,aitiņa
aidenieks	aidinieks
aidēt	skanēt,trokšņot
AIDS	mērlis
aidss	AIDS
aidu	atā
aigida	aizsardzība,patvērums
Aija	ale
aijajai	ai
aijas	šūpulis
aijāt	šūpot
aijīnas	gulētiešana
aikāties	spārdīties,bļaustīties
aikstīties	kliegt,trokšņot,vaikstīties
aila	aile
aile	secība,kolonna
ailinģis	steliņģis
ailiņa	rinda,kārta,aile,eiliņa
ailis	rinda,ierinda,nodalījums,rubrika
aiļa	aile
aiļainis	svītrains
aiļot	rubricēt
aimanas	vaimanas,žēlabas
aimanāt	vaimanāt,žēloties
aina	ainava,skats,vienība,daļa
aināties	izveidoties,izvērsties,atritināties,attīties
ainava	peizāža,dabasskats
ainojums	attēlojums,atainojums
ainoties	atainoties,attēloties
aiolieži	aiolieši
Aiols	eols
aions	laikmets,mūžība
air	ārija,meldija,dziedājums
aira-2	airas
airadroms	aerodroms
airans	airāns
airas	Kalmes,skalbes
airasols	aerosols
aire	airis,līksts,šūpoles,jaire
airējs	airētājs
airēklis	airis
aireplāns	aeroplāns
aires	šūpoles
airēties	irties
airkājvēži	peldkājvēži
airķetna	plezna
airnieks	airētājs,īrējs
aisa-2	aiza
aisekls	zobgalis
Aishils	Eshils
aisīši	aizkari
aiskulaps	eskulaps
aistētika	estētika
aistētisks	estētisks
aistēzija	sajūta,apjauda
aistieši	aisti
ait-2	nē
aita	aitāda
aitaspiere	muļķis
aitaudzis	nekrāsots
aitaugušais	nekrāsots
aite	aita
aiteris	ēters
aitērs	ēters
aitietis	aita
aitiņas	aitiņa
aitiopi	etiopieši
aitkopējs	aitkopis
aitumaurs	mārsili
aitvaras	pūķis
Aivieksta	aiviekste
aiviekste	avene,avenājs
aiviekstenājs	avenājs,aveņkrūms
aiviekstene	avene,avenājs
aiviekša	avene
aiviesenāji	avenāji
aivieses	avene
aivīkstina	avene
Aiwekst	aiviekste
aizaairēties	aizairēties
aizaberīties	aizlīst,aizlavīties
aizabridzīties	apriebties
aizabubinēties	iebubināties
aizabultēties	aizbultēties
aizada	aizadi
aizadambēties	aizdambēties
aizadegties	aizdegties
aizadrāzties	aizdrāzties
aizadurties	aizdurties
aizadusmāties	sadusmoties
aizaelsties	aizelsties
aizagaudāties	iegaudoties
aizagriezties-1	novērsties
aizagriezties-2	iespiesties
aizagulēties	aizgulēties
aizaids	azaids
aizaijāt	aizšūpot
aizains	plaisains
aizairēt	aizairēties
aizaizgājušais	aizpagājušais
aizajaukties	aiziet,aizbraukt
aizajemšana	nopūlēšanās
aizajemties	aizņemties
aizakāsēties	iekāsēties
aizakaukties	iekaukties
aizakavēties	aizkavēties
aizakliegties	iekliegties
aizakurēties	iekurēties
aizakviekties	iekviekties
aizaķerties	aizķerties
aizalaisties	aizlidot,norietēt
aizalavīties	aizlavīties
aizaliekties	aizliekties
aizalināt	aizviļināt
aizalkties	izgribēties
aizaloties	aizmaldīties,aizklīst
aizalvīt	aizalvot
aizamākties	apmākties
aizamaldīties	aizmaldīties
aizamarudzīties	aizkavēties
aizamaurāties	iemauroties
aizamesties	aizķerties,aizāķēties
aizaniezēties	ieniezēties
aizapīkstēties	iepīkstēties
aizapogāties	aizpogāties
aizaraudāties	ieraudāties
aizarieties	ierieties
aizarīties	aizrīties
aizārstēt	nomirt
aizartavāt	norūdīt
aizarukstēties	ierukšķēties
aizarunāties	ierunāties
aizarvaga	aizars
aizasāpēties	iesāpēties
aizasarot	apsvīst,aizsvīst
aizasēsties	aizsēsties
aizasināt	uzasināt
aizasirdīties	sadusmoties
aizaskubināties	aizsteigties
aizaslēgties	ieslēgties
aizastāvēties	aizsargāties
aizāt	plaisāt
aizataisīties	aiztaisīties,ieslēgties
aizatiepties	ietiepties
aizatupties	aiztupties
āizaturēties	aizcietēt
aizauda	aizaudi
aizaudināt	aizaust-2
aizaudzēt	izaudzēt,ieaudzēt
aizaudzināt	aizaudzēt
aizaudzis	aizlaists,aizcerojis,aizkrūmojis,aizlapojis
aizaugt	aizdzīt,aizsērēt,piepildīties
aizauklēt	iemidzināt
aizaulekšot	aizauļot
aizauļot	aizaulekšot
aizaurēties	iegaudoties,iekaukties,iekliegties,aizgaudoties
aizauroties	iegaudoties,iekaukties,aizgaudoties
aizaust-2	izveidot,noaust
aizauši	aizausis
