1diena	pirmdiena
nedibināti	nedibināts
nedieks	aizņemts
nedienas	nepatikšanas
nediktai	vaļīgi
nedikts	nespēcīgs,neizturīgs
nedižens	niecīgs,mazs
nedomājot	nejauši,negaidot
nedrāms	neskaists,nepieklājīgs
nedraudzīgs	nelabvēlīgs,naidīgs
nedrēbis	nelietis,palaidnis
nedrēbns	nerātns,nepaklausīgs
nedrēms	blēņdaris,riebīgs
nedross	nedrošs,neuzticams,apšaubāms
nedrošs	šaubīgs,nenoteikts,saraustīts,nepilnīgs,nepastāvīgs,mainīgs
nedrošums	nedrošība
nedvašs	nedzīvs,nejutīgs
nedzērājs	atturībnieks
nedziedējams	neārstējams
nedziedināms	neārstējams
nedziļš	netāls,netālu
nedzirdēts	neparasts,ārkārtīgs
nedzirdība	kurlums
nedzirdīgs	kurls,Kurlais
nedzīvs	miris,vienmuļš,garlaicīgs
neērds	neskaidrs,apmācies
neērts	neparocīgs
neesamība	nebūtība
neesība	nebūtība
nefas	neģēlība,netaisnība,noziegums
nefiga	nemaz,nekā,nenieka
neforši	slikti
nefrolīts	nierakmens
negabals	izdomājums,nepatiesība
negācija	noliegums
negadība	netikums
negadīgs	nelāgs,nekārtīgs,netikumīgs
negaiss	strīds
negaita	nelaime
negalība	negausība,alkatība,mantkārība
negalīgi	negausīgi
negalīgs	negausīgs,mantkārīgs,alkatīgs
negalis	badakāsis,rīlis
negalnieks	trakulis
negaļa	negauša
negan	nepietiekami
negandelis	badakāsis,rīma
negantāt	lādēt
negantelis	negantnieks
negantenis	negantnieks
negantīgs	negants
negantniece	negantnieks
negants	rupjš,piedauzīgs,stipri,ļoti,ārkārtīgi,agresīvs,nikns
negantums	negantība
negards	negaršīgs
negaržīgs	negaršīgs
negatavs	neienācies,nenobriedis,nenogatavojies
negatīvs-1	nēģeris
negaume	bezgaumība
negaumīgs	bezgaumīgs
negausa	pārmērība
negausība	alkatība,pārmērība,nepiepildāmība
negausīgs	alkatīgs,pārmērīgs,nepiepildāms,neapmierināms
negausīgums	negausība
negausnieks	negausis
negauss	nesātīgs,alkatīgs
negauša	negausis
nēgelkenes	krustnagliņas
negla	nagla
neglains	naglains
negligente	pavirši,nevīžīgi
neglīgs	kustīgs,enerģisks,palaidnīgs
neglīna	krustnagliņa
neglīšs	neglīts
neglītelis	neglītenis
neglītēns	neglītenis
neglīts	nepatīkams,nepieklājīgs,rupjš
neglītums	bojājums,vaina
neglot	naglot
negludans	negluds
negluds	nelīdzens
negludums	grūtības
negodīgs	nepieklājīgs
negodnīca	negode,bezgode
negodnieks	bezgodis,bezkauņa
negodns	nekrietns,ļauns
negods	neslava
negodudīda	bezkauņa,nekauņa
negot	strīdēties,trokšņot
negoža	bezgodis,negodis
negribis	negribot
negrīti	negritosi
negroīde	negroīdi
negrozīgs	nemainīgs
negs	nags,iegriezums
negudrai	negudri
negudrenieks	muļķis,vientiesis
negudrība	neprāts
negudris	muļķis
neguļa	bezmiegs
neģ	ne,nedz,vai,varbūt,ja
neģeldīgs	nederīgs
neģēlīgi	neģēlīgs,ļoti,ārkārtīgi
neģēlīgs	ārkārtīgs
neģēlīgums	neģēlība
nēģelķenes	krustnagliņas
neģēls	neģēlīgs
nēģeris	nēģeri
neģi	ne,nedz,vai,varbūt,ja
neģot	strīdēties,trokšņot
nehigiēniski	nehigiēnisks
nei	nedz
neicik	necik
neiebilstot	labprāt
neiecietīgums	neiecietība
neiedomājams	ārkārtīgs
neiedrīkstēties	baidīties
neiedrošināties	baidīties
neiejūtīgs	bezjūtīgs
neiekļaujot	izņemot,neieskaitot
neiekopts	nekultivēts
neiemaksājums	deficīts
neienācies	nenobriedis
neiepazīts	svešs
neierasts	neparasts
neieraudzīt	ienīst
neieredzēt	nīst
neierobežots	bezgalīgs
neiesk.	neieskaitot
neieskaitot	izņemot
neiespēja	nespēja
neiespējams	neizturams,neciešams
neievēlēt	izbalsot
neievērojams	neliels,niecīgs,necils
neikas	nekas
neikdienišķs	neparasts
neikšana	nīkšana
neilgām	neilgi
neilgīt	neilgi
neinogs	nēģis
neinoks	nēģis
neinteresants	vienmuļš
neiraksīts	encefalīts
neirastēnisks	nervozs
neiropatoloģisks	neiroloģisks
neiroza	neiroze
neīstenība	nepatiesība,neīstums
neīstenojams	neizpildāms,utopisks
neīsts	viltots,liekuļots,nepatiess,samākslots
neitrāls	vispārlietojams,objektīvs
neizanalizēts	neizpētīts
neizcepts	jēls
neizciešams	neciešams
neizdabājams	kaprīzs,untumains,neizdabūjams
neizdabūjams	kaprīzs,untumains
neizdarāms	neizpildāms,utopisks
neizdarīgums	neizdarība
neizdevība	neveiksme
neizdevīgai	neizdevīgi
neizdoties	misēties
neizgaistošs	paliekošs,nezūdošs
neizjēdzams	neizprotams,nesaprotams,neskaidrs
neizlepis	pieticīgs
neizlutis	pieticīgs
neizmērojams	ārkārtīgs
neiznākt	neizdoties,pietrūkt
neiznēsāts	neiznests
neizpaust	noklusēt,neteikt
neizrīcība	neizdarība
neizrīcīgs	neizdarīgs
neizrunājams	neizsakāms
neizsakāms	ārkārtīgs
neizsekots	neizpētīts,nezināms
neizskaitāms	neskaitāms
neizskatība	neizskatīgums
neizšķirt	jaukt
neiztaisīts	nepabeigts,neapstrādāts,negatavs
neizteicams	neizsakāms
neizteiksmīgs	vienmuļš,garlaicīgs
neiztikšana	nelaime,liksta,slimība
neizturams	neciešams
neizturēts	nekonsekvents
neizturība	neizturīgums
neizturīgums	neizturība
neizvārīts	jēls,negatavs
neizveicīgs	neveikls,lēns
neizveicīgums	neizveicība
neizvēlīgums	neizvēlība
neizzināts	neizpētīts,nezināms
Neja	Lohnejs
nejāšs	nejaušs
nejāšus	nejaušs
nejaucelis	nejaucenis,neglītenis
nejaucenis	nejaucēns
nejaucīgs	nesaticīgs,naidīgs,ļauns,slikts,ass,nepatīkams,kaitīgs
nejaudība	nespējība,nevarība,vājums,vārgums
nejaudnieks	vārgulis
nejauki	nejauks,ļoti
nejauks	griezīgs,nepatīkams,ass,pretīgs,negaršīgs
nejauša	vientiesis
nejaušām	nejaušs
nejaušis	nejaušs
nejaušs	nebūtisks,varbūtējs
nejaušus	nejaušs
nejēdzība	nekārtības
nejēdzīgs	aplams,ļoti,pārlieku,neprasmīgs,muļķīgs,riebīgs,pretīgs,neglīts,bezgaumīgs,nekrietns,ļauns
nejēdzīgums	nejēdzība
nejēdziņš	nejēgs
nejēgā	slikti
nejēglis	vientiesis,muļķis
nejēgs	nejēga,vientiesis,muļķis,auša,vārgulis,nīkulis
nejēgulis	muļķis,nepratējs
nejūcis	neparasts,neierasts
nejuslis	nejēga
nejūtelīgs	vienaldzīgs,nejūtīgs
nejūtība	nejutīgums
nejutība	nejutīgums
nejutīgums	nejutība
nejūtīgums	nejūtība
nek	varbūt,nak
nekā-1	nekādi
nekā-2	kā
nekāda	nekāds-1
nekadai	nekad
nekadais	nekad
nekādi	nekā
nekādīgas	nekādi
nekādīgi	nekādi
nekaksis	nesātis
nekaktis	nesātis
nekam	nekas
nekareivisks	pretkara
nekārtība	paviršība,nolaidība
nekārtības	jukas
nekārtīgs	nevērīgs,nolaidīgs,haotisks,paviršs
nekārtīgums	nekārtība
nekārtns	neregulārs
nekas	tukšums,nebūtība,nemaz
nekasis	tūļa
nekašains	ķildīgs
nekašens	nejauks,pretīgs,riebīgs
nekaunīgai	nekaunīgi
nekaunīgs	nepieklājīgs,rupjš
nekautrīgs	nepieklājīgs
nekautrīgums	nekautrība
nekautris	bezkauņa
nekautrs	nekautrīgs
nekautrums	nekautrīgums
nekavējams	steidzams
nekavējoši	nekavējoties
nekavējoties	tūlīt
nekavēti	brīvi
nekāži	nekādi
neklājīgs	negodīgs,netikls,aplams
neklausība	nepaklausība
neklausīgs	nepaklausīgs
neklauša	neklausulis
nekļūdība	nekļūdīgums
nekļūdīgs	precīzs,pareizs,drošs
nekļūdīgums	nekļūdība
neknasts	neskaists,nevīžīgs
nekņasts	neveikls,nevīžīgs
nekomplektība	nekomplektums
nekon	gandrīz
nekonkrētisms	nekonkrētība
nekonkrēts	vispārīgs,abstrakts,nenoteikts,neskaidrs
nekonkrētums	nekonkrētība
nekonsekvence	nenoteiktība,svārstīgums
nekonsekvents	nenoteikts,svārstīgs
nekopts	nolaists
nekorekts	neprecīzs,paviršs,netaktisks,nepieklājīgs
nekorrekts	nekorekts
nekrēts	nejauks,neķītrs,nežēlīgs
nekrietelis	nekrietnelis
nekrietnieks	nekrietnelis
nekrietns	negodīgs,zemisks,pretīgs,nepatīkams
nekrietnums	nekrietnība
nekristīgs	nevienlīdzīgs,netaisnīgs
nekrišķāns	pagāns,kaslis,suka
nekrotizēties	atmirt
nekroze	atmiršana
nekrūtis	rekrūtis
nēkšķēt	trokšņot
nektārdziedzeris	nektārijs
nektrārputniņš	nektārputns
nekulturālība	nekulturālums
nekulturālums	nekulturālība
nekur	nekurp
nekuriene	nebūtība
nekustīgs	rāms,mierīgs,stings
nekustīgums	nekustība
nekvalificēts	vienkāršs
neķītrums	neķītrība
nelabais	velns
nelabaža	nekrietnelis,neķītrelis
nelabenis	slikts,nelabs
nelabens	slikts,nelabs
nelabēns	slikts,nelabs
nelabi	nelabvēlīgi,ļauni,amorāli,netikumiski,smagi,grūti,pretīgi,nepatīkami,rupji,nepieklājīgi
nelabprāt	negribot
nelabs	neveselīgs,slimīgs,nepatīkams,nevēlams,piemēram,lietains,vējains,nedabisks,kaitīgs,neapmierināts,īgns,murgains,ļauns
nelabums	vemšana,reibonis,netīrums,slimība
nelabvēlīgs	nevēlams,kaitīgs
nelabvēlīgums	nelabvēlība
nelādzība	nekārtības
nelādzīgs	nelāgs
nelādzis	neglītenis,nekrietnelis,slaists,briesmonis
nelāgā	nelabi
nelāga	nelāgs
nelāgs	vājš,slikts,nepieklājīgs,nepiedienīgs,griezīgs,ass,pretīgs,nepatīkams,piemēram,lietains,vējains,nomākts,drūms,nelabi
nelāgums	nepatikšanas
nelāģelis	neglītenis,nekrietnelis,slaists,briesmonis
nelaicīgs	negatavs
nelaicinieks	nelaiķis
nelaikā	priekšlaicīgi
nelaikus	nelaikā
nelaiķenis	nelaiķis,aizgājējs
nelaiķis	mirušais
nelaime	neveiksme,rūpes,raizes,nepatikšanas
nelaimība	nelaime
nelaimīgai	nelaimīgi
nelaims	nelaime
nelaipnīgs	nelaipns,nedraudzīgs
nelaipnums	nelaipnība
nelatvietis	cittautietis
neldzīgums	neldzība
nele	nevis,nedz,nemaz,neba
nelgāt	muļķot,slinkot
nelgi	neprātīgs,muļķīgs
nelgot	muļķot
nelgoties	muļķoties,niekoties,laiskoties
nelīdzanai	nelīdzeni
nelīdzans	nelīdzens,plankumains,ciņains
nelīdzenums	paaugstinājums,padziļinājums
nelīdzība	nevienlīdzība,nevienādība
nelīdzīgs	nevienāds,nevienlīdzīgs
nelīdztiesīgums	nelīdztiesība
nelīdztiesisks	nelīdztiesīgs
nelīdztiesiskums	nelīdztiesīgums
neliedeņi	slikti
neliedeņš	slikts
neliegt	atļaut
neliekulība	patiesīgums,dabiskums,sirsnība
neliekuļoti	neliekuļots
neliekuļots	patiess
nelieta	nelietis,neliete
nelietīgs	rupjš,piedauzīgs
nelietojams	nederīgs
nelietpratējs	nezinātājs,nespeciālists,lajs
nelocīgs	nelokāms
neloģisks	nesaprātīgs,nepareizs,nepamatots
neloģisms	neloģiskums
nelok.	nelokāms
nelūgts	neaicināts
nelūkojot	neskatoties
neļaunīgs	nevainīgs
neļauns	nevainīgs
neļauties	pretoties,nepakļauties
neļauži	neļaudis
neļķes	gandrene,neļķe
neļķis	neļķe
neļobs	nevesels
nemācētājs	nepratējs,nezinis
nemācīts	neizglītots
nemācnieks	nemākulis,nemākule
nemaģ	nemaz
nemainība	nemainīgums
nemainīgums	nemainība
nemāklis	nepratējs
nemākslinieks	diletants
nemākslots	patiess,īsts,neviltots
nemaldība	nemaldīgums
nemaldīgs	drošs,nekļūdīgs,pareizs
nemaldīgums	nemaldība
nemanoti	nemanot
nemantīgs	nabadzīgs,mazturīgs
nemaņa	nesamaņa
nemaskēts	atklāts
nemathelminthes	veltņtārpi
nematocera	odveidīgie
nematomorpha	matoņi
nemazam	nemaz
nemazs	liels,ilgs
nemažga	smulis,trašķis,neveiklis,muļķis
nemažģis	smulis,trašķis,neveiklis,muļķis
nemēr	ļoti
nemērīgs	pārmērīgs,pārspīlēts
nemērs	pārmērs
nemertīntārps	nemertīna
Nemese	atmaksa
nemetāla	nemetālisks
nemetalli	nemetāli
nemielīgs	drūms,slikts,nepatīkams
nemierība	nemiers
nemierīgai	nemierīgi
nemierīgs	satraukts
nemierpilns	nemierīgs
nemiers	neapmierinātība,sacelšanās,satraukums,uzbudinājums,bailes,tramīgums
nemīlestība	nelabvēlība,nežēlastība,cietsirdība
nemīlīšs	nepatīkams,nevēlams
nemīlošs	nepatīkams,nevēlams
nemīļš	nepatīkams,nevēlams
neminams	neatminams
nemiņa	aizmirstība
nemirstams	paliekams
nemitība	nemitīgums
nemitīgums	nemitība
nemitošs	nemitīgs
nemīžīgs	nevīžīgs
nemo	neviens
nemode	paradums,ieraža
nemoderns	vecmodīgs
nemodīgi	nepatīkami,neglīti
nemodīgs	nepatīkams,slikts
nemon	mēmais
nemons	mēmais
nemophila	nemofila
nems	nams
nemt	ņemt,noņemt,nokrejot
Nemuns	mēmele
nemūždien	nemūžam
nemužģis	smulis,trašķis,neveiklis,muļķis
nenieka	nemaz
neniekāds	nekāds
nenieku	nekas,nekā
nenna	dzēriens
nennāt	dzert
nenne	dzēriens
nennēt	dzert
nenobriedis	jauns,nepieaudzis
nenodalīts	neartikulēts
nenoderīgs	nelietojams,nederīgs,nelāgs
nenodienīgs	nelabvēlīgs
nenogurdināms	neatslābstošs
nenojēdzīgs	neprātīgs,muļķīgs
nenojēga	nesaprātība,muļķība
nenoliecība	neiecietība,nenovēlība
nenoliecīgs	neiecietīgs,nenovēlīgs,spītīgs
nenoliedzīgs	nenovēlīgs
nenoliegties	skaust
nenoliekties	apskaust
nenolocība	nelokāmība,nepielūdzamība
nenolocīgs	nelokāms,cietsirdīgs
nenopietni	nenopietns
nenopietnība	izklaidība,vieglprātība
nenopietns	vieglprātīgs,pārsteidzīgs,jautrs
nenorietošs	nevīstošs
nenormālība	nenormālums
nenormālums	nenormālība
nenosliecība	nenovēlība
nenosliecīgs	nenovēlīgs
nenosliecīgums	nenovēlīgums
nenosliekt	skaust
nenosliekties	skaust
nenoteicams	nenosakāms
nenoteiksme	infinitīvs
nenoteikts	neskaidrs,izplūdis,mainīgs
nenoturīgs	mainīgs,nepastāvīgs
nenoturīgums	nenoturība
nenovēlība	skaudība
nenovēlīgs	skaudīgs
nenovēlīgums	nenovēlība,skaudīgums
nenovēlis	skauģis
nenovēloņa	skauģis
nenovēršams	nāve
nenovīde	skaudība
nenovīdība	nenovēlība,skaudība
nenovīdīgs	nenovēlīgs,skaudīgs
nenovīdīgums	nenovēlīgums,skaudīgums
nenovīdis	skauģis
nenovilcināms	neatliekams,steidzams
nenovilši	netīši,negribot
nenoziedzība	nevainība,šķīstums
nenozīmība	nenozīmīgums
nenozīmīgs	sīks,niecīgs
nenozīmīgums	nenozīmība
nenužģis	tūļa,lempis
Neņdzjana	Nuņdzjana
neobarbarisms	neofolklorisms
neobrutālisms	brutālisms
neofolklorisms	neobarbarisms
neogejs	neohrons
neohēgelietis	jaunhēgelietis
neohēgelisms	jaunhēgelisms
neokantiaņi	neokantieši
neoklasicisms	jaunklasicisms
neoloģisms	jaunvārds
neomalthusianisms	neomaltusisms
neomaltuziānisms	neomaltusisms
neomīgs	neprātīgs,aušīgs,traks
neomītisms	jaunmītisms
neoporteria	neoportērijas
neoprimitīvisms	neobarbarisms,neofolklorisms
neordinārs	neparasts,neikdienišķs
neoromantisms	jaunromantisms
neositta	dvīņdzilnītis
neovaskularizācija	revaskularizācija
neozoisks	kainozoisks
neozojs	kainozojs
nepabeigtība	imperfektivitāte
nepabeigts	imperfektīvs
nepaciešams	neciešams
nepacietība	neiecietība,īgnums
nepacietīgs	neiecietīgs,īgns
nepadevīgs	izturīgs,stingrs
nepaēdis	izsalcis
nepakam	neparko
nepaklausīšana	nepaklausība
nepakļauties	pretoties
nepamatīgs	paviršs
nepamatoti	nepamatots
nepanākums	neveiksme,nesekme
nepanesība	nepanesīgums
nepanesīgums	nepanesība
neparastums	neparastība
nepārdomāti	pārsteidzīgi
neparedzams	neprognozējams
neparedzēts	negaidīts,pēkšņs
nepareizai	nepareizi
nepareizība	novirze,kļūda
nepareizīgi	nepareizi
nepareizīgs	nepareizs
nepareizs	aplams,maldīgs
nepareizums	nepareizība,novirze,kļūda
nepārejamība	intransitivitāte,intransitīvums
nepārejošs	intransitīvs
nepārgrozāmība	negrozāmība
nepārgrozība	negrozāmība
neparkam	neparko
nepārkāpjams	nepārvarams
neparocība	neērtība
neparocīgs	neērts,nepatīkams
nepārredzams	nepārskatāms,nebeidzams
nepārs	nepāris
nepārskaitāms	neskaitāms
nepārskatāmība	nepārredzamība
nepārskatāms	nepārredzams,nebeidzams
nepārsteidzība	apdomīgums
nepārsteidzīgs	apdomīgs
nepārsteidzīgums	apdomīgums
nepārtraukt	turpināt
nepārvārams	nepārvarams
nepārvēršams	nenovēršams,negrozāms
nepasacīt	noklusēt
nepasakāms	neizsakāms
nepaseņam	nesen
nepasīgs	nepiemērots,nesaderīgs
nepastāvīgs	nenoturīgs,mainīgs
nepastāvīgums	nepastāvība
nepatāgs	neērts,neparocīgs
nepateicīgums	nepateicība
nepateikt	noklusēt,noslēpt
nepatiesai	nepatiesi
nepatiesība	meli
nepatiesīgs	nepatiess
nepatiesīgums	nepatiesums
nepatiess	melīgs
nepatieši	nepatiesi
nepatiesu	nepatiesi
nepaust	neizpaust,noklusēt
nepaziņa	svešinieks
nepazīstams	svešs
nepenta	nepente
nepente	nepenta
nepers	Np
nephroma	nefroma-2
nephros	niere
nepieauguši	nepieaudzis
nepiebarojams	negausīgs
nepiederīgs	nepiemērots,nepiedienīgs
nepiederošs	nepiederīgs
nepiedienīgi	nepieklājīgi
nepiedienīgs	nepieklājīgs
nepiedzīvojis	nepieredzējis
nepiedzīvots	nebijis,ārkārtīgs
nepieēdīgs	negausīgs
nepieietams	nepieejams
nepiejaucēts	neapvaldīts
nepiekāpīgums	nepiekāpība
nepieklājīgs	bezkaunīgs,rupjš
nepieklājīgums	nepieklājība
nepiekļāvīgs	atturīgs
nepiekrist	iebilst
nepielaidīgi	nepiekāpīgi
nepielaidīgs	nepieejams,nepiekāpīgs
nepielūdzamā	nāve
nepielūdzams	stingrs,nelokāms,negrozāms
nepieļaujami	nepieļaujams
nepieļāvīgs	neiecietīgs
nepiemērotība	nesaderība
nepiemērots	nederīgs,nesaderīgs
nepiemīlīgs	nemīlīgs,nedraudzīgs
nepieņemt	atteikties,noraidīt
nepiepildāms	alkatīgs,negausīgs
nepierasts	neierasts
nepieredzēts	nebijis,ārkārtīgs
nepiespiests	atklāts,vaļsirdīgs
nepietiekamība	mazspēja
nepietiekams	neapmierinošs
nepietiekošs	nepietiekams
nepietikt	pietrūkt
nepievarams	neuzvarams,nevaldāms
nepīkstēt	nerunāt
nepilgadenis	nepieaudzis,nepilngadīgs
nepilnība	trūkums,nepareizība
nepilnīgs	plānprātīgs,neprecīzs,aptuvens
nepilnīgums	nepilnība
nepilnvērtīgums	nepilnvērtība
nepīpmanis	nesmēķētājs
neplānots	pēkšņs
nepraktiski	nepraktisks
neprasmīgs	nemākulīgs
nepraška	nepraša
neprašķiņš	nepraša
neprātīgs	pārgalvīgs,pārdrošs,ārkārtīgs,pārmērīgs
neprātnieks	neprātis
neprāts	pārgalvība,pārdrošība
nepratulis	nepratējs
neprātulis	neizglītots,nepratējs
neprauda	nepatiesība
neprecēts	neprecējies
neprecīzi	neprecīzs
neprecizitāte	kļūda,nepareizība
nepretenciozs	atturīgs,pieticīgs
neproduktīvs	neauglīgs
neprognozējams	neparedzams
neprotīgs	neprātīgs,muļķīgs,nepilngadīgs
neprudelis	nekrietnelis,nelabais
neprūdelis	nekrietnelis,nelabais
neputns	spoks,velns
ner.	nerūsējošs
neradījums	rēgs,spoks
nerājams	nerātns
nerakls-1	nerātns
nerākls	nerātns
nerām	nemierīgi,satraukti
neramaņa	nemiers
nerāms	nemierīgs,satraukts
neramstīgs	nemierīgs,kustīgs,nerātns
nerasmīgs	neauglīgs
nerātnība	palaidnība
nerātnieks	nerātnis
nerātnīgs	nepaklausīgs,nerātns
nerātns	pārgalvīgs
neraža	neveiksme
neražans	nekārtīgs,neskaists,niecīgs
neražens	nekārtīgs,neskaists,niecīgs
nercaka	skrandas
nērdzējs	ņirga
nereāls	neiespējams
neredzēts	neparasts,ārkārtīgs
neredzīgs	akls
nereiza	nereize
nereizā	nelaikā
nereize	nelaime,negadījums
nereizē	nelaikā
neremdējams	neremdināms
neremone	satraukums,nemiers
nerēt	izraudzīt,izvēlēt
nērēt-1	izraudzīt,izvēlēt
nērēt-2	gavēt
Nereta	Narača
Nerft	Nereta
nerga	ņirga,ņirdzējs
nergas	skrandas
nergāties	ņergāties
neriedīgs	rāms,apdomīgs
nēriens	kampiens,grābiens
neriete	dzimumzīme
nērija	kosa
nerīkle	elpvads
neriktīgs	nepareizs
nerima	nerimtīgs
nerimīgs	nemierīgs
nerimstīgs	nerimtīgs
nerimstošs	nerimtīgs
nerimtens	nemitīgs
nerimtīgs	nemierīgs,nemierpilns
nerimtīgums	nerimtība
nerimts	nerimtīgs
nerimu	nemitīgs,nepārtraukts
nerimža	nerimša
Neriņa	Neriņš
nerīžība	nerātnība
nerīžīgs	draisks,nerātns
nerīžot	draiskuļot
nerīžs	nerīžīgs
nerokas	tirānija,despotisms
nerolieļļa	neroli
nerra	nerrs
nerraklis	nerrs
nerrastība	zobgalība,izsmiekls,muļķība
nerrāt	muļķot,zobot,izsmiet
nerrot	zobot,izsmiet,muļķot
nerroties	zoboties,smieties,muļķoties
nerrs	āksts
Nersa	Nirza
nerselēt	vārgt,sirgt
nērt	siet
nerunāt	klusēt
nerunātājs	klusētājs
nerunātnība	klusēšana
nerunātnīgs	nerunīgs
nerunība	nerunīgums
nerunīgums	nerunība
nerūpība	bezrūpība
nerūpīgs	bezrūpīgs,nevērīgs
nervāties	nervozēt
nervāts	nervozs
nervēt	uztraukties
nervozēt	uztraukt,satraukt
nervozs	tramīgs,nemierīgs,saraustīts
nērvs	nerrs,muļķis
nesa	nasta
nesabiedrisks	noslēgts
nesadarība	nesaticība
nesadarīgai	nesaticīgi
nesadarīgs	nesaticīgs
nesaderēties	disharmonēt
nesaderība	nesaticība
nesaderīgums	nesaderība
nesaistīts	brīvs
nesajēdzība	muļķība,bezjēdzība,trulums
nesajēdzīgs	nejēdzīgs,bezjēdzīgs,plānprātīgs
nesājs	nesējs
nesakarīgai	nesakarīgi
nesakarīgums	nesakarība
nesakritīgs	nesaskanīgs,dažāds
nesalīdzīgs	nesaticīgs,nesaderīgs
nesamaksājams	nenovērtējams
nesamākslots	vienkāršs,parasts
nesamanīgs	neprātīgs
nesamaņa	bezsamaņa
nesamērīgs	pārmērīgs
nesamērīgums	nesamērība
nesamērojams	nesalīdzināms
nesamērs	nesamērība,nevienādība
nesamierinātība	nesamierināmība
nesanitārs	antisanitārs
nesankcionēts	neatļauts
nesaņķis	nepieēža
nesaprašana	nesapratne
nesapraška	nepraša
nesaprātība	neprātība,neapdomība
nesapratība	nesapratne
nesarežģīts	vienkāršs,elementārs
nēsas	ģērbs,tērps
nesaskanīgs	nesaderīgs,disharmonisks
nesāt	nēsāt
nēsāt	saukties,zobot,izsmiet
nesaticīgs	kauslīgs,agresīvs
nesaticīgums	nesaticība
nēsāties	valkāties
nesātīgs	nepiepildāms,neapmierināms
nesātīgums	nesātība
nesatiksme	nesaticība,nesaskaņa
nesātis	negausis
nesātnība	nesātība
nesātnieks	negausis
nesātnīgs	nesātīgs
nesātns	nesātīgs
nesāts	neapmierinātība,nepiepildāms,neapmierināms
nesaudzīgs	nežēlīgs
nesauķīgs	netikls,netikumīgs,pārmērīgs,nesātīgs,izšķērdīgs,netaupīgs
nesaule	nebūtība,nāve
nesavākts	haotisks,izklaidīgs
nesavaldāmība	nevaldāmība,palaidnība
nesavaldīgums	nesavaldība
nesaveicīgs	nesaderīgs,neatbilstošs
nesavs	nepiederīgs,nedabisks
nesavtīgums	nesavtība
nesējs	nēsātājs
nesējspēja	nestspēja
nesekme	neveiksme,ķibele,liga
nesekmes	neveiksme,ķibele,liga
nesekne	neveiksme
neseknis	neveiksme
nesekties	neizdoties
nesenējs	nesens
nesenes	nēši
nesenīt	nesen
neseņ	nesen
nesi	našs
nesieni	nēši
nesienis	nesiens
nesiens	nesamais
nesieva	mīļākā
nesīkla	nasta,nesamais
nesīklas	nestuves
nesīklis	nestuves
nesilka	nestuves
nesilkas	nestuves
nesimetrisks	asimetrisks
nēsis	nesamais,sainis,pauna
neskaidri	neskaidrs
neskaidrs	miglains,izplūdis,apmācies,dūmakains,duļķains,juceklīgs
neskaists	neglīts,nepieklājīgs,nevēlams,nelabvēlīgs
neskaiškai	neglīti,nepiedienīgi
neskaitot	izņemot
neskartība	nevainība
neskarts	nevainīgs
neskolots	neizglītots
neslave	neslava
neslēpts	atklāts
neslis	nasta
nesmalkjūtīgs	netaktisks
nesmeķīgs	negaršīgs
nesmucība	nesmukums,nejaukums
nesmuki	neglīti,nepieklājīgi
nesmuks	neglīts,nepieklājīgs,lietains,nepatīkams
nesmukums	neglītums,negods
nespeciāliste	nespeciālists
nespēcība	nevarība
nespēcīgs	nevarīgs,trausls,vārgs
nespēcīgums	nespēcība
nespēcis	nespēcīgs
nespēcnieks	vārgulis
nespēkots	bezspēcīgs,nespēcīgs
nespēks	bezspēks,panīkums,vārgums
nespertns	nerātns,nelaipns,bezkaunīgs
nespetns	nešpetns
nespīdīgs	nespodrs
nespodrs	blāvs,neskaidrs
nespokoinai	nemierīgi
nest	radīt,ražot,dzemdēt,valkāt,nēsāt,veikt,izpildīt,zagt,izturēt,paciest,izjust,pārdzīvot,pārraidīt,laupīt
nesta	nasta
nestavas	nestuves,nēši
nesteidzība	lēnums,mierīgums,klusums
nesteidzīgi	lēni
nesteidzīgs	lēns
nesties	drāzties,valkāties
nestiprs	neizturīgs,nespēcīgs
nestiprums	bezspēcība,nevarīgums,vārgums,vājība
nestuklas	nēši
nestūklas	nēši
nestules	nēši
nestuļas	nēši
nestuļi	nēši
nestunde	nestunda
nestuve	paplāte
nesums	ienesums
nesvabadība	nebrīve
nesvēts	pasaulīgs,laicīgs,bezdievīgs,nelāgs
neš	nes
nēšas	nēši
nešaubīgums	nešaubība
nešis	nešus
neškolāts	neizglītots
nešķirams	ciešs,noturīgs
nešķirība	nesekmība,neveselība
nešķirīgi	nešķirīgs
nešķirme	nešķirība
nešķirmīgs	nešķirīgs
nešķīstais	nelabais
nešķīstans	nešķīstenis
nešķīstāns	nešķīstenis
nešķīstenis	nelabais
nešķīstens	nešķīstenis
nešķīstēns	nešķīstenis,nelabais
nešķīstība	izvirtība
nešķīstībnieks	nešķīsts,netikumīgs,netikls
nešķīstīgs	netikumīgs,netikls,nešķīsts
nešķīstnieks	netiklis
nešķīsts	netikumīgs,neķītrs,negants,atbaidošs
nešķobāms	nesatricināms
nešlava	nešļava
nešļa	nešļava
nešļāt	nest
nešļava	nesamais
nešļavas	nesamais,sainis,nestuves
nešpetnens	nešpetnis
nešpetnieks	nebēdnis,palaidnis
nešpetnis	nejauks
nešpetns	negants,agresīvs,nikns
nešpetnums	nešpetnība
nešuks	nesējs
net	gandrīz
netaisnība	nepatiesība,meli
netaisnīgai	netaisnīgi,nepatiesi
netaisns	netaisnīgs,negodīgs,līks,greizs
